movieID,actorID
tt0101453,nm0000173
tt2140479,nm0447695
tt1565958,nm0688143
tt1170358,nm0832792
tt0109447,nm0001301
tt0122690,nm0001745
tt0120791,nm0001848
tt0104237,nm0000460
tt0479651,nm0352032
tt2194499,nm3575723
tt0327162,nm0000541
tt0100519,nm0000198
tt4019560,nm0000206
tt2848292,nm0811242
tt14901058,nm0570364
tt3501416,nm1978402
tt1487118,nm2067953
tt1609479,nm1312575
tt0099850,nm0001802
tt0119528,nm0000372
tt0448115,nm6244013
tt1219342,nm0920992
tt0331933,nm0147825
tt4849438,nm1961459
tt0947802,nm0000168
tt0472033,nm0000124
tt2363213,nm0110491
tt0408345,nm0000148
tt5859238,nm0000186
tt0106770,nm0001822
tt0184526,nm0154235
tt2375559,nm5305841
tt0365907,nm1092086
tt1837703,nm0396924
tt5952138,nm1659221
tt2193215,nm0004851
tt0111400,nm0000176
tt0372873,nm1107178
tt0120008,nm0740264
tt0439630,nm1284845
tt0108162,nm0000297
tt0279781,nm0756089
tt0117110,nm0000347
tt3447364,nm4173131
tt2704998,nm1279721
tt0108037,nm0899953
tt8816194,nm0000704
tt0347473,nm0784047
tt2980648,nm0000545
tt3553442,nm0275486
tt4046784,nm2546012
tt2094018,nm1270009
tt0208988,nm0000230
tt7545266,nm0126284
tt0367913,nm0757015
tt4158096,nm0488953
tt1661199,nm4141252
tt0212712,nm0955471
tt1231583,nm1157358
tt1521848,nm0895759
tt0325710,nm0040472
tt6225520,nm0126341
tt6304162,nm9025090
tt1355683,nm1212722
tt13322120,nm8020424
tt1879030,nm3524832
tt1925431,nm0206257
tt1964418,nm0491402
tt9537292,nm5249562
tt0338077,nm0449466
tt1345836,nm0000198
tt0099399,nm0001569
tt0295700,nm0005438
tt0498399,nm0578949
tt7146812,nm0695435
tt0498381,nm0301959
tt0372873,nm0732497
tt0115964,nm0000456
tt1194263,nm0000195
tt0762110,nm1305192
tt1741542,nm0487254
tt0100502,nm0000693
tt0448134,nm0126284
tt15654262,nm4921260
tt1798632,nm1374980
tt5023260,nm0755603
tt5941692,nm0215281
tt2094064,nm0219206
tt0113118,nm0001084
tt0960890,nm0001398
tt0490215,nm3485845
tt10303324,nm1476806
tt1560970,nm4500170
tt3622120,nm2707511
tt0259822,nm0000170
tt2172071,nm3315894
tt0192194,nm0001348
tt12708658,nm4374524
tt0119468,nm0000151
tt1135952,nm0001376
tt3576728,nm0005272
tt0217505,nm0000138
tt0454776,nm0001215
tt1014763,nm1172478
tt5168192,nm0424302
tt4630562,nm0735442
tt0824758,nm0316079
tt2126357,nm0718957
tt0332047,nm0266422
tt3387520,nm2292661
tt0231402,nm0122716
tt1926313,nm4449831
tt1270842,nm3460467
tt6193408,nm0816950
tt0137338,nm0246585
tt0409379,nm0647634
tt1741273,nm0000173
tt0115940,nm0486496
tt0142233,nm0637586
tt2224317,nm3828984
tt11827628,nm2386306
tt0110123,nm0004979
tt1686784,nm0001472
tt1244754,nm0005377
tt1029231,nm1231899
tt0106226,nm0000213
tt1268799,nm0652663
tt10682266,nm0001191
tt10152736,nm2284321
tt0795493,nm0268199
tt7873348,nm4696553
tt0205000,nm0054397
